title	year	citations	authors	authororder	openaccess	oastatus	relatedworks	concepts	topics	domain	field	subfield	languages	worktype
Feminism and Anthropology.	1990	600	Karen Sacks; Henrietta L. Moore	1. Karen Sacks; 2. Henrietta L. Moore	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914; https://openalex.org/W4235493931	Feminism; Sociology; Anthropology; Gender studies	International Labor and Employment Law	Social Sciences	Social Sciences	Political Science and International Relations	en	article
Poststructural feminism in education: An overview	2000	725	Elizabeth Adams St. Pierre	1. Elizabeth Adams St. Pierre	True	hybrid	https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874	Feminism; Sociology; Gender studies; Pedagogy; Psychology	Critical and Liberation Pedagogy; Literacy, Media, and Education; Historical Education Studies Worldwide	Social Sciences	Social Sciences	Education	en	article
Feminism, Marxism, Method, and the State: An Agenda for Theory	1982	1207	Catharine A. MacKinnon	1. Catharine A. MacKinnon	False	closed	https://openalex.org/W2168358197; https://openalex.org/W4390746410; https://openalex.org/W2491318738; https://openalex.org/W4296881815; https://openalex.org/W4206579408; https://openalex.org/W2890632903; https://openalex.org/W4382323034; https://openalex.org/W4252729086; https://openalex.org/W4231786577; https://openalex.org/W4382403145	Feminism; Manifesto; Human rights; Testimonial; Social movement; Injustice; State (computer science); Feminist theory; Criticism; Politics; Sociology; Political science; Media studies; Gender studies; Law; Algorithm; Business; Computer science; Advertising	Law in Society and Culture; Feminism, Gender, and Sexuality Studies; Judicial and Constitutional Studies	Social Sciences	Social Sciences	Law	en	article
Feminism without Borders: Decolonizing Theory, Practicing Solidarity	2004	1341	Catherine Eschle	1. Catherine Eschle	True	bronze	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Solidarity; Feminism; Citation; Sociology; Media studies; Gender studies; Library science; Computer science; Political science; Law; Politics	Colonial History and Postcolonial Studies; Historical Gender and Feminism Studies; Gender Politics and Representation	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Third World Women and the Politics of Feminism	1991	799	Chandra Talpade Mohanty	1. Chandra Talpade Mohanty	False	closed	https://openalex.org/W4391375266; https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W4230473776; https://openalex.org/W2377144030	Feminism; Politics; Gender studies; Political science; Sociology; Law	Historical and Contemporary Political Dynamics	Social Sciences	Arts and Humanities	History	en	book
Gyn/Ecology: The Metaethics of Radical Feminism	1978	1070	Mary Daly	1. Mary Daly	False	closed	https://openalex.org/W3143515237; https://openalex.org/W3138484439; https://openalex.org/W2068998404; https://openalex.org/W2053501256; https://openalex.org/W2052396014; https://openalex.org/W2038600245; https://openalex.org/W2034670730; https://openalex.org/W2022092689; https://openalex.org/W2005061283; https://openalex.org/W1985356369; https://openalex.org/W1575244492; https://openalex.org/W1554411713; https://openalex.org/W1486589031; https://openalex.org/W1970647968; https://openalex.org/W2045723600; https://openalex.org/W2093745972; https://openalex.org/W1525179934; https://openalex.org/W1493636223; https://openalex.org/W1488749369; https://openalex.org/W2332086916	Feminism; Ecology; Environmental ethics; Biology; Sociology; Philosophy; Gender studies	Agriculture, Land Use, Rural Development; Religion, Ecology, and Ethics; Environmental Philosophy and Ethics	Life Sciences	Agricultural and Biological Sciences	General Agricultural and Biological Sciences	en	book
The Grounding of Modern Feminism	1988	640	Joanne Meyerowitz; Nancy F. Cott	1. Joanne Meyerowitz; 2. Nancy F. Cott	False	closed	https://openalex.org/W2748952813; https://openalex.org/W1983475890; https://openalex.org/W1984753763; https://openalex.org/W2120625627; https://openalex.org/W2913877387; https://openalex.org/W2948560023; https://openalex.org/W1988696896; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W2103443170	Feminism; Haven; Art history; History; Sociology; Art; Classics; Gender studies; Mathematics; Combinatorics	Historical Gender and Feminism Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Feminism and Geography: The Limits of Geographical Knowledge	1994	1057	Jacquelin Burgess; Gillian Rose	1. Jacquelin Burgess; 2. Gillian Rose	False	closed	https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199; https://openalex.org/W2612871816	Feminism; Geography; Human geography; Economic geography; Sociology; Gender studies	Historical Geography and Geographical Thought; Geography Education and Pedagogy	Social Sciences	Social Sciences	Geography, Planning and Development	en	article
Fortunes of feminism: from state-managed capitalism to neoliberal crisis	2014	972	Carly Guest	1. Carly Guest	False	closed	https://openalex.org/W4366286429; https://openalex.org/W429811345; https://openalex.org/W2349278349; https://openalex.org/W1984410510; https://openalex.org/W4254932117; https://openalex.org/W4388467364; https://openalex.org/W2946598547; https://openalex.org/W4283657666; https://openalex.org/W1589957503; https://openalex.org/W4309924981	Capitalism; Feminism; Neoliberalism (international relations); State (computer science); Economic history; Political science; Political economy; Sociology; Economics; Law; Politics; Algorithm; Computer science	Gender Politics and Representation; Political and Economic history of UK and US	Social Sciences	Social Sciences	Gender Studies	en	article
Manifesta: Young Women, Feminism, and the Future	2000	665	Jennifer Baumgardner; Amy Richards	1. Jennifer Baumgardner; 2. Amy Richards	False	closed	https://openalex.org/W340332507; https://openalex.org/W293213458; https://openalex.org/W2038600245; https://openalex.org/W2005061283; https://openalex.org/W1744638668; https://openalex.org/W1588574620; https://openalex.org/W1586438779; https://openalex.org/W1509860570; https://openalex.org/W149599284; https://openalex.org/W1577813071; https://openalex.org/W1544065888; https://openalex.org/W617169363; https://openalex.org/W2093745972; https://openalex.org/W1982301056; https://openalex.org/W2100153433; https://openalex.org/W2070283890; https://openalex.org/W1988345431; https://openalex.org/W1658908529; https://openalex.org/W2152131910; https://openalex.org/W1971390450	Feminism; Politics; Gender studies; Sociology; Political science; Law	Gender, Feminism, and Media; Youth Education and Societal Dynamics; Digital Games and Media	Social Sciences	Social Sciences	Gender Studies	en	book
Contingent foundations: Feminism and the question of ‘postmodernism’	1994	968	Judith Butler	1. Judith Butler	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2993585598; https://openalex.org/W2291928935; https://openalex.org/W2370682899; https://openalex.org/W2168562530; https://openalex.org/W2981366300; https://openalex.org/W2592190051; https://openalex.org/W2367594158; https://openalex.org/W2384549566; https://openalex.org/W2257945061	Postmodernism; Epistemology; Subject (documents); Feminism; Coherence (philosophical gambling strategy); Sociology; Politics; Aesthetics; Social theory; Philosophy; Psychoanalysis; Psychology; Gender studies; Political science; Law; Mathematics; Computer science; Library science; Statistics	Foucault, Power, and Ethics	Social Sciences	Social Sciences	Sociology and Political Science	en	book-chapter
Cultural Feminism versus Post-Structuralism: The Identity Crisis in Feminist Theory	1988	1472	Linda Alcoff	1. Linda Alcoff	False	closed	https://openalex.org/W2612162581; https://openalex.org/W4214648728; https://openalex.org/W2065531354; https://openalex.org/W1537344274; https://openalex.org/W2321828107; https://openalex.org/W4206517180; https://openalex.org/W4233191760; https://openalex.org/W2062346452; https://openalex.org/W2232427361; https://openalex.org/W2011283958	Feminism; Post structuralism; Identity crisis; Sociology; Identity (music); Structuralism (philosophy of science); Gender studies; Cultural studies; Epistemology; Anthropology; Social science; Philosophy; Aesthetics; Face (sociological concept)	Media, Gender, and Advertising; Gender, Feminism, and Media; Consumer Behavior in Brand Consumption and Identification	Social Sciences	Social Sciences	Gender Studies	en	article
Feminism and the Abyss of Freedom	2005	503	Linda M. G. Zerilli	1. Linda M. G. Zerilli	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Gender studies; Sociology	Hannah Arendt's Political Philosophy	Social Sciences	Social Sciences	Political Science and International Relations	en	book
Comparative State Feminism	1997	559	Hege Skjeie; Dorothy McBride Stetson; Amy G. Mazur	1. Hege Skjeie; 2. Dorothy McBride Stetson; 3. Amy G. Mazur	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W1946080426; https://openalex.org/W2317596408; https://openalex.org/W2754513840; https://openalex.org/W4306957361; https://openalex.org/W1484437451; https://openalex.org/W2009802567; https://openalex.org/W2794011897	Feminism; State (computer science); Sociology; Political science; Gender studies; Computer science; Algorithm	Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	article
Disciplining Foucault: feminism, power, and the body	1992	637	Jana Sawicki	1. Jana Sawicki	False	closed	https://openalex.org/W2044727064; https://openalex.org/W2317596408; https://openalex.org/W1987033788; https://openalex.org/W1966168923; https://openalex.org/W976867134; https://openalex.org/W1974317653; https://openalex.org/W2754513840; https://openalex.org/W4306957361; https://openalex.org/W4246099669; https://openalex.org/W1484437451	Feminism; Power (physics); Sociology; Gender studies; Physics; Quantum mechanics	Foucault, Power, and Ethics; Reproductive Health and Technologies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Advocating feminism: The Latin American Feminist NGO 'Boom'	1999	825	Sonia E. Álvarez	1. Sonia E. Álvarez	False	closed	https://openalex.org/W3161710089; https://openalex.org/W2353620890; https://openalex.org/W2353579321; https://openalex.org/W3130795706; https://openalex.org/W3049366059; https://openalex.org/W2950765645; https://openalex.org/W2752605677; https://openalex.org/W423358425; https://openalex.org/W3013855485; https://openalex.org/W4297317401	Feminism; Latin Americans; Civil society; Intermediary; Feminist movement; Government (linguistics); Political science; Social movement; Gender studies; Boom; Sociology; Public administration; Political economy; Law; Politics; Economics; Linguistics; Engineering; Environmental engineering; Philosophy; Finance	Gender Politics and Representation; International Development and Aid; Politics and Society in Latin America	Social Sciences	Social Sciences	Gender Studies	en	article
